lead_time,arrival_date_year,arrival_date_month,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,agent,company,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests,reservation_status_date,total_people,total_days,customer_type_Group,customer_type_Transient,customer_type_Transient-Party,deposit_type_Non Refund,deposit_type_Refundable,meal_FB,meal_HB,meal_SC,meal_Undefined,hotel_Resort Hotel,market_segment_Complementary,market_segment_Corporate,market_segment_Direct,market_segment_Groups,market_segment_Offline TA/TO,market_segment_Online TA,distribution_channel_Direct,distribution_channel_GDS,distribution_channel_TA/TO,continent_America,continent_Asia,continent_Europa,continent_Oceania
93,2016,6,3,0,2,3,0.0,0,0,0,0,3,3,1,9.0,-1.0,0,159.3,0,0,2016-06-05,3.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
101,2016,0,26,0,4,2,0.0,0,0,0,0,0,0,0,9.0,-1.0,0,93.08,0,1,2016-04-30,2.0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
50,2016,1,30,0,4,2,0.0,0,0,0,0,0,0,0,9.0,-1.0,0,99.0,0,0,2016-07-24,2.0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
9,2017,3,2,0,3,2,0.0,0,0,0,0,0,0,0,9.0,-1.0,0,108.0,0,0,2017-02-05,2.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
74,2016,9,4,0,2,2,1.0,0,0,0,0,0,0,0,9.0,-1.0,0,109.8,0,0,2016-10-26,3.0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
0,2017,7,30,0,0,1,0.0,0,1,0,0,0,9,0,9.0,-1.0,0,0.0,0,0,2017-03-30,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
281,2015,5,25,2,2,2,0.0,0,0,1,0,0,0,0,1.0,-1.0,0,62.0,0,0,2015-07-06,2.0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
274,2015,5,18,2,2,2,0.0,0,0,1,0,0,0,0,1.0,-1.0,0,62.0,0,0,2015-07-06,2.0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
496,2016,9,17,0,2,2,0.0,0,0,0,0,0,0,0,1.0,-1.0,0,62.8,0,0,2015-10-21,2.0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
67,2015,5,24,0,2,2,0.0,0,0,0,0,3,3,0,240.0,-1.0,0,135.0,0,1,2015-07-06,2.0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
119,2016,6,7,0,1,1,0.0,0,0,0,0,0,0,1,191.0,-1.0,0,110.0,0,0,2016-06-08,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
192,2016,1,4,1,3,2,0.0,0,0,0,0,0,0,0,9.0,-1.0,0,99.45,0,0,2016-02-27,2.0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
93,2016,4,6,2,6,2,0.0,0,0,0,0,4,4,0,250.0,-1.0,0,47.6,0,1,2015-11-12,2.0,8,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
68,2016,11,16,0,1,2,0.0,0,0,0,0,3,3,0,9.0,-1.0,0,149.4,0,0,2016-09-15,2.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
30,2015,11,7,13,33,2,0.0,0,0,0,0,0,8,17,240.0,-1.0,0,0.0,0,1,2015-10-23,2.0,46,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
44,2016,11,18,2,3,2,0.0,0,0,0,0,3,3,0,9.0,-1.0,0,149.4,0,2,2016-09-23,2.0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
17,2017,1,6,1,0,2,0.0,0,0,0,0,0,0,2,240.0,-1.0,0,199.0,0,0,2017-08-07,2.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
105,2017,8,20,2,1,2,0.0,0,0,0,0,0,0,0,14.0,-1.0,0,126.0,0,1,2017-05-23,2.0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
0,2015,2,30,0,1,2,0.0,0,0,0,0,0,0,0,9.0,-1.0,0,117.0,0,0,2015-12-31,2.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
167,2016,2,26,1,3,2,0.0,0,0,0,0,3,3,0,9.0,-1.0,0,97.75,0,0,2016-08-04,2.0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
151,2017,8,13,2,2,2,0.0,0,0,0,0,0,0,0,-1.0,-1.0,0,95.0,0,0,2016-12-13,2.0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
24,2017,8,4,0,1,2,0.0,0,0,0,0,3,3,0,9.0,-1.0,0,179.0,0,0,2017-04-18,2.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
23,2017,6,25,2,0,1,0.0,0,0,0,0,0,0,2,-1.0,-1.0,0,110.0,0,1,2017-06-27,1.0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
179,2016,1,26,2,2,2,2.0,0,0,0,0,6,6,0,240.0,-1.0,0,252.0,1,0,2016-08-30,4.0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
47,2015,2,5,2,1,2,0.0,0,0,0,0,0,0,0,1.0,-1.0,0,62.0,0,0,2015-12-08,2.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
190,2016,0,9,1,1,2,0.0,0,0,3,4,0,0,0,-1.0,-1.0,31,70.0,0,0,2015-12-09,2.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
192,2017,6,8,0,3,2,0.0,0,0,0,0,0,0,0,19.0,-1.0,23,170.0,0,0,2016-12-21,2.0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
75,2015,10,20,2,7,2,0.0,0,0,0,0,4,4,0,40.0,-1.0,0,54.4,0,0,2015-10-29,2.0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
330,2016,6,2,0,2,2,0.0,0,0,0,0,0,0,0,1.0,-1.0,0,62.0,0,0,2015-10-21,2.0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
116,2016,2,23,2,4,2,0.0,0,0,0,0,0,0,0,9.0,-1.0,0,88.4,0,1,2016-12-29,2.0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
29,2016,11,19,1,1,2,0.0,0,0,0,0,0,0,0,240.0,-1.0,0,86.0,0,1,2016-09-21,2.0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
17,2017,4,20,2,3,3,0.0,0,0,0,0,0,0,0,83.0,-1.0,0,94.32,0,1,2017-01-25,3.0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
30,2016,9,2,4,9,1,2.0,0,0,0,0,5,5,0,9.0,-1.0,0,186.22,0,1,2016-10-29,3.0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
61,2017,4,25,0,2,2,0.0,0,0,0,0,0,0,0,326.0,-1.0,0,80.0,0,0,2016-11-25,2.0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
353,2017,1,25,2,6,3,1.0,0,0,0,0,7,7,0,240.0,-1.0,0,249.0,0,2,2017-08-25,4.0,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
43,2016,11,16,0,2,2,0.0,0,0,0,0,0,0,0,86.0,-1.0,0,130.0,0,0,2016-09-05,2.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
20,2017,8,28,2,1,1,0.0,0,0,0,0,0,0,0,9.0,-1.0,0,126.0,0,0,2017-05-10,1.0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
221,2015,10,3,2,1,2,0.0,0,0,1,0,0,0,0,1.0,-1.0,0,86.0,0,0,2015-07-09,2.0,3,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
37,2016,11,8,1,3,3,1.0,0,0,0,0,7,7,0,240.0,-1.0,0,219.0,0,0,2016-09-12,4.0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
79,2017,0,3,1,4,2,2.0,0,0,0,0,6,6,0,83.0,-1.0,0,200.0,0,0,2017-04-08,4.0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
220,2015,10,17,2,1,2,0.0,0,0,1,0,0,0,0,3.0,-1.0,0,65.0,0,0,2015-10-08,2.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
68,2015,10,11,2,2,2,0.0,0,0,0,0,0,1,0,8.0,-1.0,0,89.25,0,1,2015-08-22,2.0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
106,2015,2,9,0,2,2,0.0,0,0,0,0,0,0,0,37.0,-1.0,57,75.0,0,0,2015-10-21,2.0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
4,2017,4,31,0,1,1,0.0,0,0,0,0,0,0,0,28.0,-1.0,0,75.0,0,0,2017-02-01,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
104,2017,8,15,1,2,1,0.0,0,0,0,0,0,0,0,-1.0,-1.0,0,160.0,0,0,2017-01-31,1.0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
57,2016,1,26,0,2,2,0.0,0,0,0,0,0,0,0,240.0,-1.0,0,189.0,0,0,2016-07-27,2.0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
135,2015,2,5,2,1,2,0.0,0,0,0,0,0,3,0,1.0,-1.0,0,62.0,0,0,2015-12-08,2.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
245,2016,1,8,1,2,2,0.0,0,0,0,0,4,4,0,240.0,-1.0,0,157.5,0,1,2016-03-08,2.0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
38,2016,8,7,1,1,2,0.0,0,0,0,0,0,0,0,9.0,-1.0,0,135.9,0,0,2016-04-10,2.0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
183,2017,6,7,0,1,1,0.0,0,0,0,0,4,4,0,251.0,-1.0,0,95.0,0,0,2017-06-08,1.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
